200	PO_CREATE           	025	I	POITEM                        	SHORT_TEXT                    	ITEM      	MAKTX                         	
200	PO_CREATE           	026	I	POITEM                        	STGE_LOC                      	HEAD      	LGORT                         	
200	PO_CREATE           	027	I	POITEM                        	QUANTITY                      	ITEM      	MENGE                         	
200	PO_CREATE           	028	I	POITEM                        	PO_UNIT                       	ITEM      	MEINS                         	
200	PO_CREATE           	029	I	POITEM                        	PREQ_NO                       	ITEM      	BANFN                         	
200	PO_CREATE           	030	I	POITEM                        	ACKNOWL_NO                    	ITEM      	AUFNR                         	
200	PO_CREATE           	031	I	POITEM                        	RET_ITEM                      	HEAD      	RETPO                         	
200	PO_CREATE           	032	I	POITEM                        	OVER_DLV_TOL                  	ITEM      	UEBTO                         	
200	PO_CREATE           	033	I	POITEM                        	UNDER_DLV_TOL                 	ITEM      	UNTTO                         	
200	PO_CREATE           	034	I	POITEM                        	UNLIMITED_DLV                 	ITEM      	UEBTK                         	
200	PO_CREATE           	035	I	POITEM                        	TAX_CODE                      	HEAD      	MWSKZ                         	
200	PO_CREATE           	036	I	POITEM                        	EXT_REF                       	ITEM      	IHREZ                         	
200	PO_CREATE           	037	I	POSCHEDULE                    	PO_ITEM                       	ITEM      	AFONR                         	
200	PO_CREATE           	038	I	POSCHEDULE                    	SCHED_LINE                    	          	                              	1
200	PO_CREATE           	039	I	POSCHEDULE                    	DELIVERY_DATE                 	HEAD      	EEIND                         	
200	PO_CREATE           	040	I	POSCHEDULE                    	DEL_DATCAT_EXT                	          	                              	D
200	PO_CREATE           	041	I	POSCHEDULE                    	QUANTITY                      	ITEM      	MENGE                         	
200	PO_CREATE           	042	R	EXPPURCHASEORDER              	                              	HEAD      	EBELN                         	
200	PO_CREATE           	043	R	EXPPURCHASEORDER              	                              	HEAD      	DOCNR                         	
200	PO_CREATE           	044	R	EXPPURCHASEORDER              	                              	HEAD      	AFONO                         	
200	PO_CHANGE           	001	G	PURCHASEORDER                 	                              	HEAD      	EBELN                         	
200	PO_CHANGE           	002	I	POCOND                        	ITM_NUMBER                    	ITEM      	AFONR                         	
200	PO_CHANGE           	003	I	POCOND                        	COND_TYPE                     	          	                              	ZPB0
200	PO_CHANGE           	004	I	POCOND                        	COND_VALUE                    	ITEM      	PRICE                         	
200	PO_CHANGE           	005	I	POCOND                        	CHANGE_ID                     	          	                              	U
200	PO_CHANGE           	006	I	POCOND                        	COND_P_UNT                    	ITEM      	PEINH                         	
200	PO_CHANGE           	007	I	POITEM                        	PO_ITEM                       	ITEM      	AFONR                         	
200	PO_CHANGE           	008	I	POITEM                        	MATERIAL                      	ITEM      	MATNR                         	
200	PO_CHANGE           	009	I	POITEM                        	SHORT_TEXT                    	ITEM      	MAKTX                         	
200	PO_CHANGE           	010	I	POITEM                        	PLANT                         	ITEM      	WERKS                         	
200	PO_CHANGE           	011	I	POITEM                        	STGE_LOC                      	HEAD      	LGORT                         	
200	PO_CHANGE           	012	I	POITEM                        	QUANTITY                      	ITEM      	MENGE                         	
200	PO_CHANGE           	013	I	POITEM                        	PO_UNIT                       	ITEM      	MEINS                         	
200	PO_CHANGE           	014	I	POITEM                        	DELETE_IND                    	ITEM      	DEL_FLAG                      	
200	PO_CHANGE           	015	I	POITEM                        	TRACKINGNO                    	ITEM      	SATNR                         	
